CustID,Gender,State,Age,Married,KidsUnder12,GI,AI,MI,KI,Gender 2,Age 2,Married 2,KidsUnder12 2,GI2,Gender 3
5001,F,NC,51,Yes,No,0,0,0,0,F,51,1,0,0,F
5002,M,CA,23,No,No,0,0,0,0,M,23,0,0,0,M
5003,F,TX,39,Yes,No,1,0,0,0,,39,1,0,0,
5004,F,TX,69,Yes,No,0,0,1,0,F,69,,0,0,F
5005,F,SC,60,Yes,No,0,0,0,0,F,60,1,0,1,f
5006,F,CA,76,No,No,0,0,1,0,F,76,,0,0,F
5007,F,FL,69,Yes,No,0,0,0,0,F,69,1,0,0,F
5008,M,GA,39,Yes,Yes,0,0,0,0,M,39,1,1,0,M
5009,M,VA,30,Yes,Yes,0,0,0,0,M,30,1,1,0,M
5010,M,TN,32,Yes,No,0,0,0,0,M,32,1,0,0,M
5011,F,MI,56,No,No,0,0,0,0,F,56,0,0,0,F
5012,F,NV,34,Yes,Yes,0,0,0,1,F,34,1,,0,F
5013,F,LA,47,Yes,Yes,0,0,0,0,F,47,1,1,0,F
5014,M,TX,44,Yes,Yes,0,0,0,0,M,44,1,1,0,M
5015,M,CT,30,No,No,0,0,0,0,M,30,0,0,0,M
5016,M,TN,42,Yes,Yes,0,0,0,1,M,42,1,,0,M
5017,F,WV,75,Yes,No,0,0,0,0,F,75,1,0,0,F
5018,F,TN,23,No,No,0,0,0,0,F,23,0,0,0,F
5019,F,TN,67,No,No,0,0,0,0,F,67,0,0,0,F
5020,M,PA,36,No,No,0,0,1,0,M,36,,0,0,M
5021,M,CA,34,Yes,Yes,0,0,0,0,M,34,1,1,0,M
5022,M,TN,53,Yes,Yes,0,0,0,0,M,53,1,1,0,M
5023,F,NV,19,No,No,0,0,0,0,F,19,0,0,1,f
5024,F,TX,42,Yes,Yes,0,0,0,0,F,42,1,1,0,F
5025,M,NY,20,No,No,0,0,0,0,M,20,0,0,0,M
5026,M,IA,61,No,No,0,0,0,0,M,61,0,0,0,M
5027,F,NC,59,Yes,No,0,0,0,0,F,59,1,0,0,F
5028,M,CA,35,Yes,Yes,0,0,0,0,M,35,1,1,0,M
5029,F,OH,64,Yes,No,0,0,0,0,F,64,1,0,0,F
5030,F,LA,58,Yes,No,0,0,0,0,F,58,1,0,0,F
5031,F,SC,22,Yes,Yes,0,0,0,0,F,22,1,1,0,F
5032,M,CA,30,No,Yes,0,0,0,0,M,30,0,1,0,M
5033,M,NJ,55,Yes,No,0,0,0,0,M,55,1,0,0,M
5034,M,FL,30,Yes,Yes,0,0,0,0,M,30,1,1,0,M
5035,F,TX,46,Yes,Yes,0,0,0,0,F,46,1,1,0,F
5036,M,MI,35,Yes,No,0,0,0,0,M,35,1,0,0,M
5037,M,AL,42,Yes,Yes,0,0,0,0,M,42,1,1,0,M
5038,F,VA,40,No,No,0,0,0,0,F,40,0,0,0,F
5039,M,NC,39,Yes,Yes,0,0,0,0,M,39,1,1,0,M
5040,M,CA,69,Yes,No,0,0,0,0,M,69,1,0,0,M
5041,F,GA,64,Yes,No,0,0,0,0,F,64,1,0,0,F
5042,F,IL,64,Yes,No,0,0,0,0,F,64,1,0,0,F
5043,M,DC,70,Yes,No,0,0,0,0,M,70,1,0,0,M
5044,F,SC,57,Yes,No,0,0,0,0,F,57,1,0,0,F
5045,M,VA,31,Yes,Yes,0,0,0,0,M,31,1,1,0,M
5046,M,CA,74,No,No,0,0,0,0,M,74,0,0,0,M
5047,M,MI,46,Yes,No,1,0,0,0,,46,1,0,0,
5048,M,VA,68,Yes,No,0,0,0,0,M,68,1,0,0,M
5049,M,LA,18,Yes,Yes,0,0,0,0,M,18,1,1,0,M
5050,M,MA,56,Yes,No,0,0,0,0,M,56,1,0,0,M
5051,F,NC,25,No,No,0,0,0,0,F,25,0,0,0,F
5052,M,FL,64,No,No,0,0,0,0,M,64,0,0,0,M
5053,M,NC,75,Yes,No,0,0,0,0,M,75,1,0,0,M
5054,F,IL,18,Yes,No,0,0,0,0,F,18,1,0,0,F
5055,F,NV,24,Yes,Yes,0,0,0,0,F,24,1,1,0,F
5056,F,TX,31,Yes,Yes,0,0,0,0,F,31,1,1,0,F
5057,F,TN,41,Yes,No,0,0,0,0,F,41,1,0,0,F
5058,M,CA,26,Yes,Yes,0,0,0,0,M,26,1,1,0,M
5059,F,NC,72,No,No,0,0,0,0,F,72,0,0,0,F
5060,F,AR,36,No,No,0,0,0,0,F,36,0,0,0,F
5061,M,GA,32,Yes,Yes,0,0,0,0,M,32,1,1,0,M
5062,F,SC,44,Yes,Yes,0,0,0,0,F,44,1,1,0,F
5063,M,TX,74,No,No,0,0,1,0,M,74,,0,0,M
5064,F,VA,57,Yes,No,0,0,0,0,F,57,1,0,1,f
5065,M,NC,47,Yes,Yes,0,0,0,0,M,47,1,1,0,M
5066,F,CA,58,No,No,0,0,0,0,F,58,0,0,0,F
5067,M,WV,70,No,No,0,0,0,0,M,70,0,0,0,M
5068,F,TN,40,Yes,Yes,1,0,0,1,,40,1,,1,
5069,F,SC,21,Yes,Yes,0,0,0,0,F,21,1,1,0,F
5070,F,NY,41,Yes,Yes,0,1,0,0,F,,1,1,0,F
5071,M,NC,27,No,No,0,0,0,0,M,27,0,0,0,M
5072,M,MD,62,No,No,0,0,1,0,M,62,,0,0,M
5073,F,TX,36,Yes,No,0,1,0,0,F,,1,0,0,F
5074,M,NV,33,Yes,Yes,0,0,0,0,M,33,1,1,1,m
5075,F,WV,33,No,Yes,0,0,0,0,F,33,0,1,0,F
5076,F,NV,33,Yes,Yes,0,0,0,0,F,33,1,1,0,F
5077,M,NC,29,No,No,0,0,0,0,M,29,0,0,0,M
5078,F,PA,60,Yes,No,0,0,0,0,F,60,1,0,0,F
5079,M,OR,22,No,No,0,0,0,1,M,22,0,,0,M
5080,M,TX,51,Yes,Yes,0,0,0,0,M,51,1,1,0,M
5081,F,VA,36,Yes,Yes,0,0,0,0,F,36,1,1,0,F
5082,M,CA,21,No,No,0,0,0,0,M,21,0,0,0,M
5083,M,NC,70,Yes,No,0,0,0,0,M,70,1,0,0,M
5084,F,TX,20,No,Yes,0,0,0,0,F,20,0,1,0,F
5085,F,NY,26,No,No,0,0,0,0,F,26,0,0,0,F
5086,M,NC,48,Yes,Yes,0,0,0,0,M,48,1,1,0,M
5087,F,IN,76,Yes,No,0,0,0,0,F,76,1,0,0,F
5088,F,FL,21,Yes,Yes,0,0,0,0,F,21,1,1,0,F
5089,M,CT,59,Yes,No,0,0,0,0,M,59,1,0,0,M
5090,F,TX,19,Yes,Yes,0,0,0,0,F,19,1,1,0,F
5091,F,NC,45,Yes,Yes,0,0,0,0,F,45,1,1,0,F
5092,F,MD,66,No,No,0,1,0,0,F,,0,0,0,F
5093,M,MA,36,Yes,Yes,0,0,0,0,M,36,1,1,1,m
5094,M,CA,42,Yes,Yes,0,0,1,0,M,42,,1,1,m
5095,M,MD,59,Yes,No,0,0,0,0,M,59,1,0,0,M
5096,F,NC,65,No,No,0,0,0,1,F,65,0,,0,F
5097,M,SC,22,No,No,1,1,0,0,,,0,0,0,
5098,M,VA,58,Yes,No,0,0,0,0,M,58,1,0,0,M
5099,M,NC,36,Yes,No,0,0,0,0,M,36,1,0,0,M
5100,M,NC,27,Yes,Yes,0,0,0,0,M,27,1,1,0,M
5101,F,MA,54,Yes,Yes,0,0,0,0,F,54,1,1,1,f
5102,F,TX,47,Yes,No,0,0,0,0,F,47,1,0,0,F
5103,M,VA,42,Yes,Yes,0,0,0,1,M,42,1,,1,m
5104,F,NC,24,Yes,Yes,0,0,0,0,F,24,1,1,0,F
5105,M,NV,20,No,No,0,0,0,0,M,20,0,0,0,M
5106,M,NC,57,No,No,1,1,1,0,,,,0,0,
5107,M,CA,35,No,No,0,0,0,0,M,35,0,0,0,M
5108,F,AR,44,Yes,Yes,0,0,0,0,F,44,1,1,1,f
5109,M,CA,55,Yes,No,0,0,0,0,M,55,1,0,0,M
5110,M,NV,44,Yes,No,0,0,0,0,M,44,1,0,0,M
5111,F,VA,34,Yes,Yes,0,0,0,0,F,34,1,1,0,F
5112,F,FL,66,Yes,No,0,0,0,0,F,66,1,0,0,F
5113,F,NC,39,Yes,No,0,0,0,0,F,39,1,0,1,f
5114,F,TX,40,Yes,Yes,0,0,1,0,F,40,,1,0,F
5115,M,MD,63,Yes,No,1,0,0,0,,63,1,0,0,
5116,M,VA,59,Yes,No,0,0,0,0,M,59,1,0,1,m
5117,F,CA,19,No,No,0,0,0,0,F,19,0,0,0,F
5118,F,SC,22,Yes,Yes,0,0,0,0,F,22,1,1,0,F
5119,M,CA,47,Yes,No,0,0,0,1,M,47,1,,0,M
5120,F,NY,85,No,No,0,0,0,0,F,85,0,0,0,F
5121,F,AR,58,No,No,1,0,0,0,,58,0,0,0,
5122,M,FL,42,Yes,Yes,0,0,0,0,M,42,1,1,0,M
5123,M,NC,40,Yes,Yes,0,0,0,0,M,40,1,1,0,M
5124,F,NC,29,Yes,Yes,0,0,0,1,F,29,1,,0,F
5125,M,NC,58,Yes,No,0,0,0,0,M,58,1,0,0,M
5126,F,LA,48,No,No,0,0,0,0,F,48,0,0,0,F
5127,M,NY,19,No,No,0,0,0,0,M,19,0,0,0,M
5128,F,MD,25,No,No,0,0,0,0,F,25,0,0,0,F
5129,F,SC,51,Yes,No,0,0,0,0,F,51,1,0,0,F
5130,F,NC,48,Yes,Yes,0,0,0,0,F,48,1,1,0,F
5131,F,NC,23,No,No,0,0,0,0,F,23,0,0,0,F
5132,F,AL,55,Yes,No,0,0,0,0,F,55,1,0,0,F
5133,M,CA,28,Yes,Yes,0,0,0,0,M,28,1,1,0,M
5134,M,LA,31,Yes,No,0,0,0,0,M,31,1,0,0,M
5135,M,NC,50,Yes,Yes,0,0,0,0,M,50,1,1,0,M
5136,M,CA,52,Yes,Yes,0,0,1,0,M,52,,1,0,M
5137,M,NY,33,Yes,No,0,0,0,0,M,33,1,0,0,M
5138,F,NY,22,Yes,No,0,0,0,0,F,22,1,0,0,F
5139,F,GA,49,No,No,0,0,0,0,F,49,0,0,0,F
5140,M,TN,29,No,No,0,0,0,0,M,29,0,0,0,M
5141,F,NV,33,Yes,No,1,0,0,0,,33,1,0,0,
5142,F,FL,46,Yes,Yes,0,0,0,0,F,46,1,1,1,f
5143,F,MD,40,Yes,Yes,0,0,0,0,F,40,1,1,0,F
5144,F,TX,40,Yes,Yes,0,0,0,1,F,40,1,,0,F
5145,M,WV,25,No,No,0,0,0,0,M,25,0,0,0,M
5146,F,KY,20,No,No,0,0,0,1,F,20,0,,0,F
5147,M,CA,77,No,No,1,0,0,0,,77,0,0,0,
5148,M,FL,39,Yes,Yes,0,0,0,0,M,39,1,1,0,M
5149,F,FL,30,No,No,0,0,0,0,F,30,0,0,0,F
5150,F,CA,60,Yes,No,0,0,0,0,F,60,1,0,0,F
5151,M,TN,55,Yes,No,0,0,0,0,M,55,1,0,0,M
5152,M,NV,46,Yes,Yes,0,0,1,1,M,46,,,0,M
5153,F,WV,61,Yes,No,0,0,0,0,F,61,1,0,0,F
5154,M,NY,54,Yes,Yes,0,0,0,0,M,54,1,1,0,M
5155,F,CA,38,Yes,Yes,0,0,0,0,F,38,1,1,0,F
5156,F,VA,34,No,No,0,0,0,0,F,34,0,0,0,F
5157,F,NV,64,No,No,0,0,1,0,F,64,,0,0,F
5158,M,CA,63,No,No,0,0,0,0,M,63,0,0,0,M
5159,F,CA,47,No,Yes,0,0,0,0,F,47,0,1,0,F
5160,F,GA,60,Yes,No,0,0,0,0,F,60,1,0,0,F
5161,F,AL,41,Yes,Yes,0,0,0,0,F,41,1,1,0,F
5162,F,TN,55,No,No,0,0,0,0,F,55,0,0,0,F
5163,M,MD,77,No,No,0,0,0,0,M,77,0,0,0,M
5164,F,CA,31,No,No,0,0,0,0,F,31,0,0,0,F
5165,M,TX,49,Yes,Yes,0,0,0,0,M,49,1,1,0,M
5166,F,NY,25,Yes,No,0,0,0,0,F,25,1,0,0,F
5167,F,TX,59,Yes,No,0,0,1,0,F,59,,0,1,f
5168,F,VA,27,Yes,Yes,0,0,0,0,F,27,1,1,0,F
5169,M,OH,47,No,No,0,0,0,0,M,47,0,0,0,M
5170,M,NC,34,Yes,No,0,0,0,0,M,34,1,0,0,M
5171,F,NJ,63,No,No,0,0,0,0,F,63,0,0,0,F
5172,M,AZ,37,No,No,0,0,0,0,M,37,0,0,0,M
5173,F,LA,18,No,No,0,0,0,0,F,18,0,0,0,F
5174,M,MI,68,No,No,0,0,0,0,M,68,0,0,0,M
5175,F,NC,45,Yes,Yes,0,0,0,1,F,45,1,,0,F
5176,F,NC,54,Yes,Yes,0,0,0,0,F,54,1,1,0,F
5177,F,WI,39,Yes,Yes,0,0,0,0,F,39,1,1,0,F
5178,F,TX,49,Yes,Yes,0,0,1,0,F,49,,1,0,F
5179,F,FL,58,No,No,1,0,0,0,,58,0,0,0,
5180,M,CA,56,Yes,No,0,0,1,0,M,56,,0,1,m
5181,M,CA,22,Yes,Yes,0,0,0,0,M,22,1,1,0,M
5182,F,FL,74,No,No,0,0,0,0,F,74,0,0,0,F
5183,F,DC,39,Yes,Yes,0,0,0,0,F,39,1,1,1,f
5184,M,SC,26,No,No,0,0,0,0,M,26,0,0,0,M
5185,M,TX,30,Yes,Yes,1,0,0,0,,30,1,1,0,
5186,F,NY,24,Yes,No,0,0,0,0,F,24,1,0,0,F
5187,M,CA,26,No,No,0,0,0,0,M,26,0,0,0,M
5188,M,SC,45,Yes,Yes,0,1,0,0,M,,1,1,0,M
5189,F,NC,85,Yes,No,0,0,0,1,F,85,1,,0,F
5190,M,IN,38,No,No,0,0,0,0,M,38,0,0,0,M
5191,F,MS,62,No,No,0,0,0,0,F,62,0,0,0,F
